backend,size,method,op,elapsed_ms
sqlite,1000,legacy,insert_cold,2.9960830000000036
sqlite,1000,legacy,create_index_cold,0.43949999999999545
sqlite,1000,legacy,delete_indexed,0.035624999999997464
sqlite,1000,legacy,insert_indexed,1.679291999999999
sqlite,1000,legacy,drop_index,0.07333300000000181
sqlite,1000,legacy,delete_unindexed,0.028000000000000247
sqlite,1000,legacyJsonb,insert_cold,2.2022919999999946
sqlite,1000,legacyJsonb,create_index_cold,0.44037499999999286
sqlite,1000,legacyJsonb,delete_indexed,0.035832999999999005
sqlite,1000,legacyJsonb,insert_indexed,1.3196660000000109
sqlite,1000,legacyJsonb,drop_index,0.0682500000000058
sqlite,1000,legacyJsonb,delete_unindexed,0.0249169999999993
sqlite,1000,v2,insert_cold,7.3178749999999875
sqlite,1000,v2,create_index_cold,1.227917000000009
sqlite,1000,v2,delete_indexed,0.12974999999999792
sqlite,1000,v2,insert_indexed,7.356709000000003
sqlite,1000,v2,drop_index,0.13054199999999738
sqlite,1000,v2,delete_unindexed,0.12216700000000635
sqlite,10000,legacy,insert_cold,24.993040999999995
sqlite,10000,legacy,create_index_cold,8.442583000000003
sqlite,10000,legacy,delete_indexed,0.2248330000000076
sqlite,10000,legacy,insert_indexed,13.950458999999999
sqlite,10000,legacy,drop_index,0.1347079999999834
sqlite,10000,legacy,delete_unindexed,0.13429200000000807
sqlite,10000,legacyJsonb,insert_cold,10.230083
sqlite,10000,legacyJsonb,create_index_cold,3.561000000000009
sqlite,10000,legacyJsonb,delete_indexed,0.1782090000000125
sqlite,10000,legacyJsonb,insert_indexed,21.629583000000007
sqlite,10000,legacyJsonb,drop_index,1.8126670000000178
sqlite,10000,legacyJsonb,delete_unindexed,0.2161670000000171
sqlite,10000,v2,insert_cold,114.084292
sqlite,10000,v2,create_index_cold,14.76545899999998
sqlite,10000,v2,delete_indexed,2.4170000000000025
sqlite,10000,v2,insert_indexed,100.101958
sqlite,10000,v2,drop_index,2.2329579999999516
sqlite,10000,v2,delete_unindexed,1.6901250000000423
sqlite,100000,legacy,insert_cold,123.59816699999998
sqlite,100000,legacy,create_index_cold,46.84116599999999
sqlite,100000,legacy,delete_indexed,3.4754579999999313
sqlite,100000,legacy,insert_indexed,175.81599999999997
sqlite,100000,legacy,drop_index,2.788208999999986
sqlite,100000,legacy,delete_unindexed,1.8481249999999783
sqlite,100000,legacyJsonb,insert_cold,107.77150000000002
sqlite,100000,legacyJsonb,create_index_cold,46.51695899999997
sqlite,100000,legacyJsonb,delete_indexed,3.4699160000000173
sqlite,100000,legacyJsonb,insert_indexed,168.8823330000001
sqlite,100000,legacyJsonb,drop_index,2.6433749999998923
sqlite,100000,legacyJsonb,delete_unindexed,1.6940420000000067
sqlite,100000,v2,insert_cold,976.9397499999999
sqlite,100000,v2,create_index_cold,241.83850000000007
sqlite,100000,v2,delete_indexed,38.68141700000027
sqlite,100000,v2,insert_indexed,1016.3086669999997
sqlite,100000,v2,drop_index,22.045333999999972
sqlite,100000,v2,delete_unindexed,24.878166999999785
sqlite,300000,legacy,insert_cold,366.4560419999998
sqlite,300000,legacy,create_index_cold,177.2249170000002
sqlite,300000,legacy,delete_indexed,11.415084000000242
sqlite,300000,legacy,insert_indexed,563.7825000000003
sqlite,300000,legacy,drop_index,21.685959000000032
sqlite,300000,legacy,delete_unindexed,7.647291999999695
sqlite,300000,legacyJsonb,insert_cold,367.684208
sqlite,300000,legacyJsonb,create_index_cold,143.52295800000013
sqlite,300000,legacyJsonb,delete_indexed,8.302415999999369
sqlite,300000,legacyJsonb,insert_indexed,564.5016250000001
sqlite,300000,legacyJsonb,drop_index,14.309959000000205
sqlite,300000,legacyJsonb,delete_unindexed,7.492167000000549
sqlite,300000,v2,insert_cold,5664.5203329999995
sqlite,300000,v2,create_index_cold,1337.615125000001
sqlite,300000,v2,delete_indexed,231.42625000000015
sqlite,300000,v2,insert_indexed,7282.663875000001
sqlite,300000,v2,drop_index,106.13804200000132
sqlite,300000,v2,delete_unindexed,171.80012500000075
sqlite,1000000,legacy,insert_cold,1356.677542
sqlite,1000000,legacy,create_index_cold,720.6654589999993
sqlite,1000000,legacy,delete_indexed,46.04112499999857
sqlite,1000000,legacy,insert_indexed,1850.9531250000002
sqlite,1000000,legacy,drop_index,222.99024999999872
sqlite,1000000,legacy,delete_unindexed,28.362958000002436
sqlite,1000000,legacyJsonb,insert_cold,1144.8875830000027
sqlite,1000000,legacyJsonb,create_index_cold,648.4985840000022
sqlite,1000000,legacyJsonb,delete_indexed,29.933040999999605
sqlite,1000000,legacyJsonb,insert_indexed,1837.811417000001
sqlite,1000000,legacyJsonb,drop_index,22.863124999997098
sqlite,1000000,legacyJsonb,delete_unindexed,26.18191599999875
sqlite,1000000,v2,insert_cold,18433.924124999998
sqlite,1000000,v2,create_index_cold,6897.340042000003
sqlite,1000000,v2,delete_indexed,13349.403791
sqlite,1000000,v2,insert_indexed,16831.260917000007
sqlite,1000000,v2,drop_index,3774.4152079999935
sqlite,1000000,v2,delete_unindexed,9231.26558300001
